N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
0,N/A,06001406300,Alameda County,California,2017,40,45,36,34,32,36,34,2.1,-1.9,29,-0.4,-12.5,31,4.1,2.2,29,71.2,65.8,45,82.9,81.5,39,57.6,53.2,46,49,44,61,5.9,30,64,N/A,N/A,22,5.7,-8.3,98,4,14.3,27,59,34,8,20.1,10.3,42,55,28,50,3.3,7.5,60,N/A,N/A,21,86.3,72.3,31,41.3,44.4,29,25.5,17.7,33,91.2,88
1,N/A,06001406300,Alameda County,California,2018,39,40,38,36,34,39,25,2.1,-5.6,44,5.4,4.7,31,4.1,2.2,32,72,67.5,45,82.9,81.5,47,57,56,44,43,45,61,5.9,30,25,N/A,N/A,43,1.6,3,98,4,14.3,30,60,38,8,20.1,10.3,37,44,30,60,5.7,15.4,27,N/A,N/A,27,86.6,76.4,24,41.5,46.2,38,25.5,21.1,29,92.3,88.5
2,N/A,06001406300,Alameda County,California,2019,46,55,38,47,53,41,39,1.8,-0.9,67,16.5,52,31,4.1,2.2,37,72.5,69.2,43,83.9,81.8,52,56.5,57.1,53,63,43,67,13.7,61.5,59,N/A,N/A,63,8.6,29.4,98,4,14.3,24,60,31,8,20.1,10.3,38,48,29,53,9.2,15.3,43,N/A,N/A,25,87,75.7,21,41.6,47,38,25.3,20.9,32,93.3,90.7
3,N/A,06001406300,Alameda County,California,2020,40,43,37,53,66,40,57,1.5,3.2,75,25.2,125.9,31,4.1,2.2,35,72.8,69,41,84.9,82.1,51,55.8,56.2,34,24,44,7,7.4,-9.5,55,N/A,N/A,10,8.1,-22.7,97,3.4,10.5,24,61,31,10,20.6,11.3,34,40,28,59,12.2,21.5,20,N/A,N/A,23,87.5,75.8,18,41.6,47.8,35,25.4,20.1,36,94.2,92.3
4,N/A,06001406300,Alameda County,California,2021,40,48,31,50,72,28,72,0,7.7,71,25.7,88.4,31,4.1,2.2,18,73.3,63.3,15,89.1,77.2,49,55.6,55.2,33,23,43,3,5.3,-26.3,19,N/A,N/A,46,7.1,11.8,100,5,28.6,20,59,26,10,20.6,11.3,36,49,22,53,13.8,20,45,N/A,N/A,8,88.8,64.6,7,41.3,53,22,27.5,16.2,51,95,95.1
5,N/A,06001406300,Alameda County,California,2022,40,47,33,46,70,23,66,-0.3,5.1,75,31.6,150.1,31,4.1,2.2,13,72.9,60.2,21,90.6,82.6,27,56.3,46.9,44,35,52,37,-15,-14.3,9,N/A,N/A,59,17.9,42.1,100,5.1,33.3,48,60,58,8,21.2,10.8,30,36,23,62,14.5,28.4,11,N/A,N/A,25,88.8,80.1,12,41.3,50.2,2,27.4,5.5,52,94.9,95.2
6,N/A,06001406300,Alameda County,California,2023,46,60,31,46,68,23,63,-0.5,4.4,74,48.8,157.8,31,4.1,2.2,9,72.2,56.8,20,91.7,83.9,32,56.7,49.4,48,47,50,67,21.2,83.3,39,N/A,N/A,34,-8.5,-13,94,4.2,13.6,48,60,58,9,20.8,11.3,42,64,21,66,16.7,37.3,63,N/A,N/A,30,88.8,82.2,6,41.5,53.9,1,27.8,4.5,46,95,94.5
7,N/A,06001405700,Alameda County,California,2017,44,51,38,45,51,39,75,2.1,17,27,-0.4,-13.8,32,4.1,2.2,18,71.2,62,53,82.9,84,53,57.6,58.8,40,59,21,64,5.9,29.4,72,N/A,N/A,42,5.7,7.1,39,4,3.3,13,59,16,12,20.1,11.6,48,42,53,17,3.3,-8.7,67,N/A,N/A,33,86.3,79.6,56,41.3,40.4,64,25.5,30.9,58,91.2,92.4
8,N/A,06001405700,Alameda County,California,2018,38,36,39,48,58,39,75,2.1,16.5,40,5.4,1.8,32,4.1,2.2,16,72,62.1,53,82.9,84,54,57,58.6,30,38,21,64,5.9,29.4,35,N/A,N/A,15,1.6,-16.7,39,4,3.3,13,60,16,12,20.1,11.6,34,13,56,17,5.7,-5.6,9,N/A,N/A,31,86.6,78.5,62,41.5,39.8,79,25.5,38.5,54,92.3,92.8
9,N/A,06001405700,Alameda County,California,2019,47,54,40,56,72,40,72,1.8,12.7,73,16.5,82.3,32,4.1,2.2,25,72.5,65.8,56,83.9,85.6,48,56.5,55.6,35,47,23,64,13.7,36.4,7,N/A,N/A,71,8.6,64,39,4,3.3,18,60,24,12,20.1,11.6,50,42,58,44,9.2,9.3,40,N/A,N/A,27,87,77.5,59,41.6,40.4,90,25.3,47.6,56,93.3,94.1
