"Label (Grouping)","ZCTA5 94606!!Estimate","ZCTA5 94606!!Margin of Error"
"Total:","38,595","±1,559"
"    White alone","10,847","±956"
"    Black or African American alone","6,001","±752"
"    American Indian and Alaska Native alone","456","±228"
"    Asian alone","12,728","±971"
"    Native Hawaiian and Other Pacific Islander alone","188","±125"
"    Some other race alone","5,445","±941"
"    Two or more races:","2,930","±667"
"        Two races including Some other race","1,130","±382"
"        Two races excluding Some other race, and three or more races","1,800","±413"
