"Label (Grouping)","ZCTA5 94606!!Occupied housing units!!Estimate","ZCTA5 94606!!Owner-occupied housing units!!Estimate","ZCTA5 94606!!Renter-occupied housing units!!Estimate"
"Occupied housing units","15,054","2,789","12,265"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"        One race --","","",""
"            White","4,882","833","4,049"
"            Black or African American","3,342","335","3,007"
"            American Indian and Alaska Native","105","0","105"
"            Asian","4,401","1,418","2,983"
"            Native Hawaiian and Other Pacific Islander","55","5","50"
"            Some other race","1,394","133","1,261"
"        Two or more races","875","65","810"
"        Hispanic or Latino origin","2,483","245","2,238"
"        White alone, not Hispanic or Latino","4,148","737","3,411"
"    AGE OF HOUSEHOLDER","","",""
"        Under 35 years","4,160","288","3,872"
"        35 to 44 years","3,367","434","2,933"
"        45 to 54 years","2,317","570","1,747"
"        55 to 64 years","2,413","560","1,853"
"        65 to 74 years","1,605","553","1,052"
"        75 to 84 years","837","249","588"
"        85 years and over","355","135","220"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","",""
"        Less than high school graduate","2,493","524","1,969"
"        High school graduate (includes equivalency)","2,232","465","1,767"
"        Some college or associate's degree","3,724","774","2,950"
"        Bachelor's degree or higher","6,605","1,026","5,579"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","",""
"        Moved in 2019 or later","546","48","498"
"        Moved in 2015 to 2018","4,413","492","3,921"
"        Moved in 2010 to 2014","4,278","339","3,939"
"        Moved in 2000 to 2009","3,112","616","2,496"
"        Moved in 1990 to 1999","1,454","581","873"
"        Moved in 1989 or earlier","1,251","713","538"
