"Label (Grouping)","ZCTA5 94606!!Households!!Estimate","ZCTA5 94606!!Families!!Estimate","ZCTA5 94606!!Married-couple families!!Estimate","ZCTA5 94606!!Nonfamily households!!Estimate"
"Total","15,692","7,644","4,665","8,048"
"    Less than $10,000","5.3%","3.6%","2.1%","7.2%"
"    $10,000 to $14,999","7.3%","3.6%","3.4%","10.7%"
"    $15,000 to $24,999","7.9%","8.3%","6.6%","8.2%"
"    $25,000 to $34,999","6.6%","7.0%","8.1%","6.4%"
"    $35,000 to $49,999","9.9%","11.3%","9.6%","8.9%"
"    $50,000 to $74,999","16.5%","15.6%","13.7%","17.3%"
"    $75,000 to $99,999","11.4%","13.1%","11.3%","11.1%"
"    $100,000 to $149,999","14.0%","15.4%","16.3%","13.1%"
"    $150,000 to $199,999","8.7%","9.5%","13.7%","6.6%"
"    $200,000 or more","12.3%","12.5%","15.3%","10.5%"
"Median income (dollars)","71,442","76,026","91,060","64,000"
"Mean income (dollars)","96,424","100,656","N","87,247"
"PERCENT ALLOCATED","","","",""
"    Household income in the past 12 months","36.7%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","42.9%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","29.3%"
