N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
0,N/A,06001405302,Alameda County,California,2017,44,51,36,40,28,53,19,2.1,-3.7,37,-0.4,1.3,94,4.1,23.8,57,71.2,72.8,42,82.9,80.3,20,57.6,45,48,71,24,68,5.9,33.3,69,N/A,N/A,76,5.7,62.5,N/A,N/A,N/A,31,59,39,17,20.1,13.3,43,54,32,82,3.3,23.9,25,N/A,N/A,20,86.3,71.2,6,41.3,52.8,77,25.5,37.6,27,91.2,86.7
1,N/A,06001405302,Alameda County,California,2018,42,47,38,47,39,55,12,2.1,-7.1,66,5.4,92.3,94,4.1,23.8,58,72,73.8,42,82.9,80.3,25,57,46.7,40,49,30,68,5.9,33.3,65,N/A,N/A,14,1.6,-36.5,N/A,N/A,N/A,43,60,52,17,20.1,13.3,42,53,30,84,5.7,33.7,22,N/A,N/A,28,86.6,77,5,41.5,53.4,53,25.5,26.6,33,92.3,89.3
2,N/A,06001405302,Alameda County,California,2019,42,45,38,40,23,56,23,1.8,-2.3,N/A,16.5,N/A,94,4.1,23.8,58,72.5,74.4,44,83.9,82,28,56.5,47.7,42,53,32,27,13.7,7.1,53,N/A,N/A,78,8.6,81.8,N/A,N/A,N/A,47,60,57,17,20.1,13.3,42,58,26,84,9.2,40.2,31,N/A,N/A,33,87,80.6,3,41.6,55.8,34,25.3,19.6,33,93.3,90.7
3,N/A,06001405302,Alameda County,California,2020,43,42,44,35,12,58,12,1.5,-7.5,N/A,25.2,N/A,94,4.1,23.8,65,72.8,76.2,39,84.9,81.4,32,55.8,48.4,54,59,49,69,7.4,36.7,67,N/A,N/A,41,8.1,5,71,3.4,4.9,57,61,67,18,20.6,13.7,40,56,25,84,12.2,46.3,29,N/A,N/A,42,87.5,84.9,4,41.6,55.3,21,25.4,14.6,34,94.2,91.9
4,N/A,06001405302,Alameda County,California,2021,44,44,45,38,22,55,22,0,-6.3,N/A,25.7,N/A,94,4.1,23.8,80,73.3,81.1,32,89.1,84.4,13,55.6,37.4,48,42,54,64,5.3,19.5,36,N/A,N/A,25,7.1,-11.1,62,5,6.1,81,59,86,19,20.6,14.1,47,67,27,82,13.8,36.9,52,N/A,N/A,42,88.8,86.4,6,41.3,53.6,N/A,27.5,N/A,34,95,92.8
5,N/A,06001405302,Alameda County,California,2022,44,42,46,49,46,52,26,-0.3,-5.3,67,31.6,232.8,94,4.1,23.8,69,72.9,77.9,26,90.6,84.5,21,56.3,43.7,46,34,58,25,-15,-22.4,29,N/A,N/A,49,17.9,21.4,73,5.1,7.9,78,60,84,23,21.2,15.6,36,45,27,72,14.5,25.6,18,N/A,N/A,33,88.8,83.4,19,41.3,47.8,N/A,27.4,N/A,30,94.9,92.1
6,N/A,06001405200,Alameda County,California,2017,63,60,66,70,76,64,64,2.1,4.8,89,-0.4,53.2,81,4.1,11.3,68,71.2,75.4,71,82.9,89,34,57.6,51.4,58,54,62,69,5.9,33.3,48,N/A,N/A,46,5.7,-1,62,4,4.9,92,59,95,33,20.1,16.8,62,50,73,58,3.3,2.8,41,N/A,N/A,75,86.3,92.9,53,41.3,40.9,92,25.5,51.4,72,91.2,94.6
7,N/A,06001405200,Alameda County,California,2018,65,65,65,70,82,59,76,2.1,9.2,89,5.4,68.1,81,4.1,11.3,64,72,75.3,71,82.9,89,20,57,44,58,54,62,69,5.9,33.3,55,N/A,N/A,39,1.6,-9,62,4,4.9,91,60,94,33,20.1,16.8,68,60,75,69,5.7,9.2,50,N/A,N/A,77,86.6,93.4,43,41.5,42.6,98,25.5,66.2,82,92.3,96.5
8,N/A,06001405200,Alameda County,California,2019,64,66,63,69,84,54,79,1.8,10.4,90,16.5,99.1,81,4.1,11.3,47,72.5,71.7,72,83.9,89.9,14,56.5,39.9,54,46,62,63,13.7,28.1,17,N/A,N/A,59,8.6,11,62,4,4.9,91,60,94,33,20.1,16.8,70,68,73,74,9.2,15.1,61,N/A,N/A,79,87,94,34,41.6,44.2,99,25.3,76.5,79,93.3,96.7
9,N/A,06001405200,Alameda County,California,2020,64,69,60,66,82,50,74,1.5,7.6,91,25.2,159.7,81,4.1,11.3,36,72.8,69.3,69,84.9,89.9,14,55.8,39.1,58,57,60,72,7.4,41.5,33,N/A,N/A,65,8.1,14.9,50,3.4,3.4,92,61,95,37,20.6,18,68,67,70,85,12.2,26,49,N/A,N/A,80,87.5,94.3,28,41.6,45.5,99,25.4,72.4,73,94.2,96.6
