"Label (Grouping)","Census Tract 4052; Alameda County; California!!Total!!Estimate","Census Tract 4052; Alameda County; California!!Percent!!Estimate","Census Tract 4052; Alameda County; California!!Male!!Estimate","Census Tract 4052; Alameda County; California!!Percent Male!!Estimate","Census Tract 4052; Alameda County; California!!Female!!Estimate","Census Tract 4052; Alameda County; California!!Percent Female!!Estimate","Census Tract 4053.01; Alameda County; California!!Total!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent!!Estimate","Census Tract 4053.01; Alameda County; California!!Male!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent Male!!Estimate","Census Tract 4053.01; Alameda County; California!!Female!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent Female!!Estimate","Census Tract 4053.02; Alameda County; California!!Total!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent!!Estimate","Census Tract 4053.02; Alameda County; California!!Male!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent Male!!Estimate","Census Tract 4053.02; Alameda County; California!!Female!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent Female!!Estimate","Census Tract 4054.01; Alameda County; California!!Total!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent!!Estimate","Census Tract 4054.01; Alameda County; California!!Male!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent Male!!Estimate","Census Tract 4054.01; Alameda County; California!!Female!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent Female!!Estimate","Census Tract 4054.02; Alameda County; California!!Total!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent!!Estimate","Census Tract 4054.02; Alameda County; California!!Male!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent Male!!Estimate","Census Tract 4054.02; Alameda County; California!!Female!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent Female!!Estimate","Census Tract 4055; Alameda County; California!!Total!!Estimate","Census Tract 4055; Alameda County; California!!Percent!!Estimate","Census Tract 4055; Alameda County; California!!Male!!Estimate","Census Tract 4055; Alameda County; California!!Percent Male!!Estimate","Census Tract 4055; Alameda County; California!!Female!!Estimate","Census Tract 4055; Alameda County; California!!Percent Female!!Estimate","Census Tract 4056; Alameda County; California!!Total!!Estimate","Census Tract 4056; Alameda County; California!!Percent!!Estimate","Census Tract 4056; Alameda County; California!!Male!!Estimate","Census Tract 4056; Alameda County; California!!Percent Male!!Estimate","Census Tract 4056; Alameda County; California!!Female!!Estimate","Census Tract 4056; Alameda County; California!!Percent Female!!Estimate","Census Tract 4057; Alameda County; California!!Total!!Estimate","Census Tract 4057; Alameda County; California!!Percent!!Estimate","Census Tract 4057; Alameda County; California!!Male!!Estimate","Census Tract 4057; Alameda County; California!!Percent Male!!Estimate","Census Tract 4057; Alameda County; California!!Female!!Estimate","Census Tract 4057; Alameda County; California!!Percent Female!!Estimate","Census Tract 4058; Alameda County; California!!Total!!Estimate","Census Tract 4058; Alameda County; California!!Percent!!Estimate","Census Tract 4058; Alameda County; California!!Male!!Estimate","Census Tract 4058; Alameda County; California!!Percent Male!!Estimate","Census Tract 4058; Alameda County; California!!Female!!Estimate","Census Tract 4058; Alameda County; California!!Percent Female!!Estimate","Census Tract 4059.01; Alameda County; California!!Total!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent!!Estimate","Census Tract 4059.01; Alameda County; California!!Male!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent Male!!Estimate","Census Tract 4059.01; Alameda County; California!!Female!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent Female!!Estimate","Census Tract 4059.02; Alameda County; California!!Total!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent!!Estimate","Census Tract 4059.02; Alameda County; California!!Male!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent Male!!Estimate","Census Tract 4059.02; Alameda County; California!!Female!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent Female!!Estimate","Census Tract 4060; Alameda County; California!!Total!!Estimate","Census Tract 4060; Alameda County; California!!Percent!!Estimate","Census Tract 4060; Alameda County; California!!Male!!Estimate","Census Tract 4060; Alameda County; California!!Percent Male!!Estimate","Census Tract 4060; Alameda County; California!!Female!!Estimate","Census Tract 4060; Alameda County; California!!Percent Female!!Estimate"
"Total population","4,913","(X)","2,521","(X)","2,392","(X)","2,872","(X)","1,471","(X)","1,401","(X)","2,559","(X)","1,361","(X)","1,198","(X)","3,541","(X)","1,825","(X)","1,716","(X)","3,673","(X)","1,602","(X)","2,071","(X)","3,537","(X)","1,804","(X)","1,733","(X)","3,044","(X)","1,338","(X)","1,706","(X)","3,522","(X)","1,785","(X)","1,737","(X)","4,182","(X)","2,247","(X)","1,935","(X)","3,757","(X)","1,847","(X)","1,910","(X)","3,138","(X)","1,609","(X)","1,529","(X)","4,735","(X)","2,081","(X)","2,654","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","287","5.8%","101","4.0%","186","7.8%","143","5.0%","72","4.9%","71","5.1%","46","1.8%","36","2.6%","10","0.8%","97","2.7%","60","3.3%","37","2.2%","179","4.9%","52","3.2%","127","6.1%","84","2.4%","47","2.6%","37","2.1%","125","4.1%","73","5.5%","52","3.0%","84","2.4%","49","2.7%","35","2.0%","226","5.4%","134","6.0%","92","4.8%","96","2.6%","22","1.2%","74","3.9%","274","8.7%","133","8.3%","141","9.2%","171","3.6%","55","2.6%","116","4.4%"
"        5 to 9 years","116","2.4%","116","4.6%","0","0.0%","78","2.7%","19","1.3%","59","4.2%","52","2.0%","10","0.7%","42","3.5%","49","1.4%","10","0.5%","39","2.3%","110","3.0%","65","4.1%","45","2.2%","155","4.4%","85","4.7%","70","4.0%","92","3.0%","58","4.3%","34","2.0%","188","5.3%","98","5.5%","90","5.2%","353","8.4%","238","10.6%","115","5.9%","361","9.6%","144","7.8%","217","11.4%","108","3.4%","71","4.4%","37","2.4%","207","4.4%","121","5.8%","86","3.2%"
"        10 to 14 years","181","3.7%","127","5.0%","54","2.3%","85","3.0%","54","3.7%","31","2.2%","0","0.0%","0","0.0%","0","0.0%","194","5.5%","83","4.5%","111","6.5%","241","6.6%","58","3.6%","183","8.8%","113","3.2%","83","4.6%","30","1.7%","95","3.1%","23","1.7%","72","4.2%","237","6.7%","186","10.4%","51","2.9%","266","6.4%","142","6.3%","124","6.4%","397","10.6%","203","11.0%","194","10.2%","115","3.7%","59","3.7%","56","3.7%","324","6.8%","72","3.5%","252","9.5%"
"        15 to 19 years","136","2.8%","21","0.8%","115","4.8%","49","1.7%","10","0.7%","39","2.8%","0","0.0%","0","0.0%","0","0.0%","116","3.3%","69","3.8%","47","2.7%","148","4.0%","70","4.4%","78","3.8%","117","3.3%","84","4.7%","33","1.9%","129","4.2%","93","7.0%","36","2.1%","190","5.4%","97","5.4%","93","5.4%","215","5.1%","106","4.7%","109","5.6%","276","7.3%","150","8.1%","126","6.6%","170","5.4%","53","3.3%","117","7.7%","207","4.4%","66","3.2%","141","5.3%"
"        20 to 24 years","117","2.4%","81","3.2%","36","1.5%","38","1.3%","0","0.0%","38","2.7%","101","3.9%","45","3.3%","56","4.7%","227","6.4%","174","9.5%","53","3.1%","147","4.0%","29","1.8%","118","5.7%","129","3.6%","78","4.3%","51","2.9%","103","3.4%","43","3.2%","60","3.5%","250","7.1%","29","1.6%","221","12.7%","220","5.3%","128","5.7%","92","4.8%","235","6.3%","91","4.9%","144","7.5%","205","6.5%","159","9.9%","46","3.0%","261","5.5%","128","6.2%","133","5.0%"
"        25 to 29 years","332","6.8%","175","6.9%","157","6.6%","371","12.9%","248","16.9%","123","8.8%","568","22.2%","367","27.0%","201","16.8%","334","9.4%","147","8.1%","187","10.9%","492","13.4%","156","9.7%","336","16.2%","433","12.2%","146","8.1%","287","16.6%","189","6.2%","89","6.7%","100","5.9%","383","10.9%","204","11.4%","179","10.3%","311","7.4%","141","6.3%","170","8.8%","261","6.9%","74","4.0%","187","9.8%","280","8.9%","80","5.0%","200","13.1%","291","6.1%","175","8.4%","116","4.4%"
"        30 to 34 years","752","15.3%","198","7.9%","554","23.2%","553","19.3%","350","23.8%","203","14.5%","389","15.2%","224","16.5%","165","13.8%","576","16.3%","308","16.9%","268","15.6%","358","9.7%","280","17.5%","78","3.8%","477","13.5%","233","12.9%","244","14.1%","460","15.1%","206","15.4%","254","14.9%","365","10.4%","116","6.5%","249","14.3%","473","11.3%","267","11.9%","206","10.6%","362","9.6%","170","9.2%","192","10.1%","401","12.8%","223","13.9%","178","11.6%","350","7.4%","115","5.5%","235","8.9%"
"        35 to 39 years","559","11.4%","323","12.8%","236","9.9%","536","18.7%","243","16.5%","293","20.9%","224","8.8%","120","8.8%","104","8.7%","368","10.4%","187","10.2%","181","10.5%","367","10.0%","122","7.6%","245","11.8%","412","11.6%","287","15.9%","125","7.2%","546","17.9%","234","17.5%","312","18.3%","299","8.5%","169","9.5%","130","7.5%","344","8.2%","109","4.9%","235","12.1%","132","3.5%","75","4.1%","57","3.0%","196","6.2%","100","6.2%","96","6.3%","345","7.3%","151","7.3%","194","7.3%"
