"Label (Grouping)","Census Tract 4052, Alameda County, California!!Estimate","Census Tract 4053.02, Alameda County, California!!Estimate","Census Tract 4054.02, Alameda County, California!!Estimate","Census Tract 4055, Alameda County, California!!Estimate","Census Tract 4056, Alameda County, California!!Estimate","Census Tract 4058, Alameda County, California!!Estimate","Census Tract 4059.02, Alameda County, California!!Estimate","Census Tract 4060, Alameda County, California!!Estimate"
"Total:","5,125","2,446","3,250","4,124","3,171","4,472","3,101","3,184"
"    White alone","1,930","885","404","1,152","1,221","1,008","590","837"
"    Black or African American alone","711","367","841","585","482","1,053","436","435"
"    American Indian and Alaska Native alone","58","16","68","14","110","54","31","33"
"    Asian alone","1,519","848","1,117","2,051","875","1,918","1,480","1,377"
"    Native Hawaiian and Other Pacific Islander alone","68","0","219","6","0","25","56","7"
"    Some other race alone","282","134","447","51","237","223","407","342"
"    Two or more races:","557","196","154","265","246","191","101","153"
"        Two races including Some other race","122","11","20","50","96","94","37","10"
"        Two races excluding Some other race, and three or more races","435","185","134","215","150","97","64","143"
