"Label (Grouping)","ZCTA5 94606!!Estimate","ZCTA5 94606!!Margin of Error"
"Total:","38,220","±1,224"
"    White alone","11,131","±1,054"
"    Black or African American alone","6,638","±810"
"    American Indian and Alaska Native alone","427","±172"
"    Asian alone","13,820","±1,162"
"    Native Hawaiian and Other Pacific Islander alone","246","±121"
"    Some other race alone","4,141","±753"
"    Two or more races:","1,817","±290"
"        Two races including Some other race","310","±120"
"        Two races excluding Some other race, and three or more races","1,507","±269"
