"Label (Grouping)","Census Tract 4052, Alameda County, California!!Estimate","Census Tract 4053.01, Alameda County, California!!Estimate","Census Tract 4053.02, Alameda County, California!!Estimate","Census Tract 4054.01, Alameda County, California!!Estimate","Census Tract 4054.02, Alameda County, California!!Estimate","Census Tract 4055, Alameda County, California!!Estimate","Census Tract 4056, Alameda County, California!!Estimate","Census Tract 4057, Alameda County, California!!Estimate","Census Tract 4058, Alameda County, California!!Estimate","Census Tract 4059.01, Alameda County, California!!Estimate","Census Tract 4059.02, Alameda County, California!!Estimate","Census Tract 4060, Alameda County, California!!Estimate"
"Total:","4,936","2,988","2,457","3,583","3,492","3,644","3,184","3,722","4,157","4,175","3,063","4,288"
"    White alone","1,966","1,570","944","1,024","823","1,244","1,079","624","657","827","506","1,109"
"    Black or African American alone","519","431","522","515","580","633","574","1,024","701","467","323","614"
"    American Indian and Alaska Native alone","0","0","38","0","32","94","118","15","58","45","25","35"
"    Asian alone","1,834","434","748","1,168","1,066","1,140","780","1,182","2,031","1,466","1,192","1,761"
"    Native Hawaiian and Other Pacific Islander alone","0","6","0","0","17","66","0","0","0","85","0","14"
"    Some other race alone","256","249","83","688","895","293","357","638","324","699","660","575"
"    Two or more races:","361","298","122","188","79","174","276","239","386","586","357","180"
"        Two races including Some other race","169","103","32","19","0","11","66","39","95","480","118","62"
"        Two races excluding Some other race, and three or more races","192","195","90","169","79","163","210","200","291","106","239","118"
