"Label (Grouping)","Census Tract 4052; Alameda County; California!!Estimate","Census Tract 4053.01; Alameda County; California!!Estimate","Census Tract 4053.02; Alameda County; California!!Estimate","Census Tract 4054.01; Alameda County; California!!Estimate","Census Tract 4054.02; Alameda County; California!!Estimate","Census Tract 4055; Alameda County; California!!Estimate","Census Tract 4056; Alameda County; California!!Estimate","Census Tract 4057; Alameda County; California!!Estimate","Census Tract 4058; Alameda County; California!!Estimate","Census Tract 4059.01; Alameda County; California!!Estimate","Census Tract 4059.02; Alameda County; California!!Estimate","Census Tract 4060; Alameda County; California!!Estimate"
"Total:","4,913","2,872","2,559","3,541","3,673","3,537","3,044","3,522","4,182","3,757","3,138","4,735"
"    White alone","1,812","1,460","884","961","880","838","1,241","609","630","434","407","967"
"    Black or African American alone","680","410","605","476","561","690","544","985","850","643","234","910"
"    American Indian and Alaska Native alone","0","0","40","13","10","70","32","36","46","91","27","55"
"    Asian alone","1,939","447","795","1,132","1,315","1,313","672","934","1,815","1,261","1,275","1,939"
"    Native Hawaiian and Other Pacific Islander alone","0","5","11","0","7","34","0","0","0","109","0","0"
"    Some Other Race alone","156","236","71","665","847","380","257","684","552","523","789","762"
"    Two or More Races:","326","314","153","294","53","212","298","274","289","696","406","102"
"        Two races including Some Other Race","121","116","65","75","0","47","98","52","66","369","118","46"
"        Two races excluding Some Other Race, and three or more races","205","198","88","219","53","165","200","222","223","327","288","56"
