"Label (Grouping)","Census Tract 4052, Alameda County, California!!Estimate","Census Tract 4052, Alameda County, California!!Percent","Census Tract 4053.01, Alameda County, California!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent","Census Tract 4053.02, Alameda County, California!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent","Census Tract 4054.01, Alameda County, California!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent","Census Tract 4054.02, Alameda County, California!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent","Census Tract 4055, Alameda County, California!!Estimate","Census Tract 4055, Alameda County, California!!Percent","Census Tract 4056, Alameda County, California!!Estimate","Census Tract 4056, Alameda County, California!!Percent","Census Tract 4057, Alameda County, California!!Estimate","Census Tract 4057, Alameda County, California!!Percent","Census Tract 4058, Alameda County, California!!Estimate","Census Tract 4058, Alameda County, California!!Percent","Census Tract 4059.01, Alameda County, California!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent","Census Tract 4059.02, Alameda County, California!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent","Census Tract 4060, Alameda County, California!!Estimate","Census Tract 4060, Alameda County, California!!Percent"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","4,543","4,543","2,729","2,729","2,202","2,202","3,500","3,500","2,571","2,571","3,537","3,537","2,704","2,704","3,168","3,168","3,654","3,654","3,469","3,469","2,540","2,540","2,936","2,936"
"        In labor force","3,535","77.8%","2,148","78.7%","1,516","68.8%","2,468","70.5%","1,979","77.0%","2,529","71.5%","2,089","77.3%","2,087","65.9%","2,374","65.0%","1,974","56.9%","1,577","62.1%","1,819","62.0%"
"            Civilian labor force","3,535","77.8%","2,148","78.7%","1,516","68.8%","2,468","70.5%","1,979","77.0%","2,529","71.5%","2,089","77.3%","2,087","65.9%","2,374","65.0%","1,974","56.9%","1,561","61.5%","1,819","62.0%"
"                Employed","3,374","74.3%","2,053","75.2%","1,359","61.7%","2,250","64.3%","1,656","64.4%","2,435","68.8%","1,921","71.0%","1,771","55.9%","2,118","58.0%","1,785","51.5%","1,350","53.1%","1,540","52.5%"
"                Unemployed","161","3.5%","95","3.5%","157","7.1%","218","6.2%","323","12.6%","94","2.7%","168","6.2%","316","10.0%","256","7.0%","189","5.4%","211","8.3%","279","9.5%"
"            Armed Forces","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","16","0.6%","0","0.0%"
"        Not in labor force","1,008","22.2%","581","21.3%","686","31.2%","1,032","29.5%","592","23.0%","1,008","28.5%","615","22.7%","1,081","34.1%","1,280","35.0%","1,495","43.1%","963","37.9%","1,117","38.0%"
"    Civilian labor force","3,535","3,535","2,148","2,148","1,516","1,516","2,468","2,468","1,979","1,979","2,529","2,529","2,089","2,089","2,087","2,087","2,374","2,374","1,974","1,974","1,561","1,561","1,819","1,819"
"        Unemployment Rate","(X)","4.6%","(X)","4.4%","(X)","10.4%","(X)","8.8%","(X)","16.3%","(X)","3.7%","(X)","8.0%","(X)","15.1%","(X)","10.8%","(X)","9.6%","(X)","13.5%","(X)","15.3%"
"    Females 16 years and over","2,233","2,233","1,529","1,529","1,030","1,030","1,771","1,771","1,370","1,370","1,808","1,808","1,227","1,227","1,512","1,512","1,867","1,867","1,930","1,930","1,268","1,268","1,623","1,623"
"        In labor force","1,774","79.4%","1,207","78.9%","587","57.0%","1,118","63.1%","981","71.6%","1,194","66.0%","947","77.2%","896","59.3%","1,173","62.8%","919","47.6%","777","61.3%","943","58.1%"
"            Civilian labor force","1,774","79.4%","1,207","78.9%","587","57.0%","1,118","63.1%","981","71.6%","1,194","66.0%","947","77.2%","896","59.3%","1,173","62.8%","919","47.6%","777","61.3%","943","58.1%"
"                Employed","1,672","74.9%","1,178","77.0%","539","52.3%","986","55.7%","856","62.5%","1,139","63.0%","847","69.0%","825","54.6%","1,005","53.8%","819","42.4%","687","54.2%","821","50.6%"
"    Own children of the householder under 6 years","321","321","124","124","109","109","198","198","226","226","157","157","168","168","249","249","177","177","449","449","225","225","79","79"
"        All parents in family in labor force","244","76.0%","98","79.0%","63","57.8%","150","75.8%","119","52.7%","144","91.7%","168","100.0%","76","30.5%","148","83.6%","203","45.2%","116","51.6%","46","58.2%"
"    Own children of the householder 6 to 17 years","285","285","146","146","143","143","340","340","470","470","414","414","388","388","284","284","620","620","815","815","438","438","194","194"
"        All parents in family in labor force","255","89.5%","146","100.0%","80","55.9%","215","63.2%","410","87.2%","300","72.5%","388","100.0%","175","61.6%","287","46.3%","396","48.6%","293","66.9%","124","63.9%"
"COMMUTING TO WORK","","","","","","","","","","","","","","","","","","","","","","","",""
"    Workers 16 years and over","3,274","3,274","1,959","1,959","1,280","1,280","2,199","2,199","1,530","1,530","2,406","2,406","1,842","1,842","1,672","1,672","2,075","2,075","1,732","1,732","1,333","1,333","1,428","1,428"
"        Car, truck, or van -- drove alone","1,606","49.1%","836","42.7%","586","45.8%","896","40.7%","852","55.7%","1,274","53.0%","1,043","56.6%","986","59.0%","1,206","58.1%","691","39.9%","769","57.7%","578","40.5%"
"        Car, truck, or van -- carpooled","403","12.3%","122","6.2%","199","15.5%","374","17.0%","167","10.9%","368","15.3%","256","13.9%","220","13.2%","414","20.0%","381","22.0%","202","15.2%","206","14.4%"
"        Public transportation (excluding taxicab)","665","20.3%","588","30.0%","239","18.7%","656","29.8%","313","20.5%","416","17.3%","421","22.9%","325","19.4%","348","16.8%","477","27.5%","178","13.4%","343","24.0%"
"        Walked","66","2.0%","174","8.9%","109","8.5%","86","3.9%","61","4.0%","73","3.0%","17","0.9%","96","5.7%","39","1.9%","49","2.8%","63","4.7%","68","4.8%"
"        Other means","165","5.0%","93","4.7%","134","10.5%","133","6.0%","98","6.4%","159","6.6%","47","2.6%","16","1.0%","14","0.7%","98","5.7%","57","4.3%","126","8.8%"
"        Worked at home","369","11.3%","146","7.5%","13","1.0%","54","2.5%","39","2.5%","116","4.8%","58","3.1%","29","1.7%","54","2.6%","36","2.1%","64","4.8%","107","7.5%"
"        Mean travel time to work (minutes)","35.1","(X)","34.1","(X)","31.5","(X)","32.4","(X)","30.3","(X)","33.4","(X)","33.9","(X)","30.2","(X)","27.7","(X)","30.4","(X)","28.4","(X)","30.3","(X)"
"OCCUPATION","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","3,374","3,374","2,053","2,053","1,359","1,359","2,250","2,250","1,656","1,656","2,435","2,435","1,921","1,921","1,771","1,771","2,118","2,118","1,785","1,785","1,350","1,350","1,540","1,540"
