"Label (Grouping)","Census Tract 4052, Alameda County, California!!Number!!Estimate","Census Tract 4052, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4052, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.01, Alameda County, California!!Number!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.02, Alameda County, California!!Number!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.01, Alameda County, California!!Number!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.02, Alameda County, California!!Number!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4055, Alameda County, California!!Number!!Estimate","Census Tract 4055, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4055, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4056, Alameda County, California!!Number!!Estimate","Census Tract 4056, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4056, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4057, Alameda County, California!!Number!!Estimate","Census Tract 4057, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4057, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4058, Alameda County, California!!Number!!Estimate","Census Tract 4058, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4058, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.01, Alameda County, California!!Number!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.02, Alameda County, California!!Number!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4060, Alameda County, California!!Number!!Estimate","Census Tract 4060, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4060, Alameda County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","2,407","2,407","77,688","1,548","1,548","62,500","1,448","1,448","41,111","1,688","1,688","46,790","1,133","1,133","41,521","1,580","1,580","56,005","1,371","1,371","58,138","1,353","1,353","50,344","1,333","1,333","38,794","1,080","1,080","36,214","956","956","36,000","1,405","1,405","35,457"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","1,080","44.9%","83,258","853","55.1%","90,391","619","42.7%","62,431","450","26.7%","54,722","219","19.3%","-","533","33.7%","90,074","571","41.6%","61,250","327","24.2%","58,750","262","19.7%","92,750","175","16.2%","51,926","181","18.9%","58,250","384","27.3%","74,938"
"            Black or African American","419","17.4%","63,813","384","24.8%","38,500","228","15.7%","-","404","23.9%","32,123","350","30.9%","41,048","272","17.2%","51,932","273","19.9%","60,875","562","41.5%","34,674","393","29.5%","31,587","205","19.0%","32,083","196","20.5%","22,500","234","16.7%","27,308"
"            American Indian and Alaska Native","46","1.9%","59,074","7","0.5%","-","7","0.5%","-","12","0.7%","-","42","3.7%","52,188","0","0.0%","-","46","3.4%","-","9","0.7%","-","9","0.7%","-","51","4.7%","-","11","1.2%","-","6","0.4%","-"
"            Asian","594","24.7%","69,821","154","9.9%","-","463","32.0%","21,893","493","29.2%","-","319","28.2%","29,950","663","42.0%","39,125","307","22.4%","56,047","306","22.6%","68,214","510","38.3%","35,714","367","34.0%","35,368","409","42.8%","34,125","570","40.6%","18,158"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","-","7","0.5%","-","0","0.0%","-","0","0.0%","-","52","4.6%","-","6","0.4%","-","0","0.0%","-","0","0.0%","-","25","1.9%","-","0","0.0%","-","15","1.6%","-","7","0.5%","-"
"            Some other race","152","6.3%","88,661","52","3.4%","-","59","4.1%","-","205","12.1%","47,695","108","9.5%","51,689","22","1.4%","-","77","5.6%","50,990","98","7.2%","67,500","70","5.3%","-","272","25.2%","36,528","118","12.3%","25,500","129","9.2%","-"
"        Two or more races","116","4.8%","66,419","91","5.9%","-","72","5.0%","36,316","124","7.3%","70,789","43","3.8%","64,567","84","5.3%","51,848","97","7.1%","76,528","51","3.8%","-","64","4.8%","-","10","0.9%","-","26","2.7%","40,625","75","5.3%","89,712"
