"Label (Grouping)","Census Tract 4052, Alameda County, California!!Number!!Estimate","Census Tract 4052, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4052, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.01, Alameda County, California!!Number!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.02, Alameda County, California!!Number!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.01, Alameda County, California!!Number!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.02, Alameda County, California!!Number!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4055, Alameda County, California!!Number!!Estimate","Census Tract 4055, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4055, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4056, Alameda County, California!!Number!!Estimate","Census Tract 4056, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4056, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4057, Alameda County, California!!Number!!Estimate","Census Tract 4057, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4057, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4058, Alameda County, California!!Number!!Estimate","Census Tract 4058, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4058, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.01, Alameda County, California!!Number!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.02, Alameda County, California!!Number!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4060, Alameda County, California!!Number!!Estimate","Census Tract 4060, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4060, Alameda County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","2,266","2,266","89,828","1,556","1,556","105,128","1,453","1,453","59,801","1,617","1,617","64,432","1,191","1,191","58,184","1,561","1,561","81,131","1,453","1,453","75,142","1,497","1,497","69,552","1,362","1,362","54,909","1,111","1,111","55,945","941","941","60,478","1,728","1,728","53,333"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","1,091","48.1%","103,250","828","53.2%","107,051","550","37.9%","76,912","566","35.0%","67,632","238","20.0%","87,692","570","36.5%","57,845","589","40.5%","59,432","321","21.4%","120,865","234","17.2%","123,636","139","12.5%","-","167","17.7%","183,523","593","34.3%","100,550"
"            Black or African American","375","16.5%","50,509","262","16.8%","115,556","390","26.8%","60,714","230","14.2%","67,768","302","25.4%","74,167","314","20.1%","83,333","317","21.8%","75,792","562","37.5%","68,542","320","23.5%","53,600","167","15.0%","37,188","166","17.6%","53,125","279","16.1%","-"
"            American Indian and Alaska Native","0","0.0%","-","0","0.0%","-","12","0.8%","-","0","0.0%","-","28","2.4%","-","0","0.0%","-","48","3.3%","-","10","0.7%","-","12","0.9%","-","0","0.0%","-","18","1.9%","-","17","1.0%","85,781"
"            Asian","527","23.3%","89,784","226","14.5%","-","431","29.7%","21,815","490","30.3%","51,800","384","32.2%","-","426","27.3%","77,857","266","18.3%","79,000","351","23.4%","88,523","564","41.4%","29,113","402","36.2%","84,571","355","37.7%","44,063","565","32.7%","39,844"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","-","6","0.4%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","35","2.2%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","25","2.3%","-","0","0.0%","-","14","0.8%","-"
"            Some other race","143","6.3%","87,111","94","6.0%","-","24","1.7%","-","249","15.4%","54,940","189","15.9%","53,533","119","7.6%","-","80","5.5%","44,674","160","10.7%","52,250","119","8.7%","63,750","224","20.2%","43,393","175","18.6%","53,173","188","10.9%","48,125"
"        Two or more races","130","5.7%","-","140","9.0%","74,286","46","3.2%","85,962","82","5.1%","109,000","50","4.2%","-","97","6.2%","107,625","153","10.5%","152,793","93","6.2%","63,510","113","8.3%","-","154","13.9%","37,500","60","6.4%","73,194","72","4.2%","138,194"
"        Hispanic or Latino origin (of any race)","223","9.8%","98,060","235","15.1%","96,635","80","5.5%","-","279","17.3%","71,435","243","20.4%","59,293","174","11.1%","111,333","261","18.0%","43,987","214","14.3%","62,000","188","13.8%","63,103","454","40.9%","56,842","233","24.8%","72,604","285","16.5%","48,484"
"        White alone, not Hispanic or Latino","1,036","45.7%","103,100","793","51.0%","106,506","512","35.2%","76,912","534","33.0%","65,795","190","16.0%","78,500","518","33.2%","58,017","456","31.4%","82,188","272","18.2%","98,864","198","14.5%","128,929","42","3.8%","-","135","14.3%","187,645","499","28.9%","114,728"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","45","2.0%","-","7","0.4%","-","70","4.8%","-","44","2.7%","63,750","73","6.1%","-","40","2.6%","84,000","9","0.6%","-","50","3.3%","-","82","6.0%","44,231","61","5.5%","-","30","3.2%","24,444","32","1.9%","-"
"    25 to 44 years","1,041","45.9%","95,197","977","62.8%","138,068","692","47.6%","82,404","808","50.0%","83,375","594","49.9%","76,442","674","43.2%","110,556","713","49.1%","84,128","637","42.6%","83,109","645","47.4%","63,087","458","41.2%","61,034","411","43.7%","74,965","612","35.4%","75,000"
"    45 to 64 years","613","27.1%","97,829","374","24.0%","68,125","317","21.8%","53,220","441","27.3%","51,758","353","29.6%","42,563","569","36.5%","74,013","547","37.6%","71,438","726","48.5%","68,805","459","33.7%","47,740","416","37.4%","57,012","294","31.2%","52,339","692","40.0%","62,188"
