Age Group,"Census Tract 4051, Alameda County, California!!Total!!Estimate","Census Tract 4051, Alameda County, California!!Male!!Estimate","Census Tract 4051, Alameda County, California!!Female!!Estimate","Census Tract 4053.01, Alameda County, California!!Total!!Estimate","Census Tract 4053.01, Alameda County, California!!Male!!Estimate","Census Tract 4053.01, Alameda County, California!!Female!!Estimate","Census Tract 4053.02, Alameda County, California!!Total!!Estimate","Census Tract 4053.02, Alameda County, California!!Male!!Estimate","Census Tract 4053.02, Alameda County, California!!Female!!Estimate","Census Tract 4054.01, Alameda County, California!!Total!!Estimate","Census Tract 4054.01, Alameda County, California!!Male!!Estimate","Census Tract 4054.01, Alameda County, California!!Female!!Estimate","Census Tract 4054.02, Alameda County, California!!Total!!Estimate","Census Tract 4054.02, Alameda County, California!!Male!!Estimate","Census Tract 4054.02, Alameda County, California!!Female!!Estimate","Census Tract 4055, Alameda County, California!!Total!!Estimate","Census Tract 4055, Alameda County, California!!Male!!Estimate","Census Tract 4055, Alameda County, California!!Female!!Estimate","Census Tract 4056, Alameda County, California!!Total!!Estimate","Census Tract 4056, Alameda County, California!!Male!!Estimate","Census Tract 4056, Alameda County, California!!Female!!Estimate","Census Tract 4057, Alameda County, California!!Total!!Estimate","Census Tract 4057, Alameda County, California!!Male!!Estimate","Census Tract 4057, Alameda County, California!!Female!!Estimate","Census Tract 4058, Alameda County, California!!Total!!Estimate","Census Tract 4058, Alameda County, California!!Male!!Estimate","Census Tract 4058, Alameda County, California!!Female!!Estimate","Census Tract 4059.01, Alameda County, California!!Total!!Estimate","Census Tract 4059.01, Alameda County, California!!Male!!Estimate","Census Tract 4059.01, Alameda County, California!!Female!!Estimate","Census Tract 4059.02, Alameda County, California!!Total!!Estimate","Census Tract 4059.02, Alameda County, California!!Male!!Estimate","Census Tract 4059.02, Alameda County, California!!Female!!Estimate","Census Tract 4060, Alameda County, California!!Total!!Estimate","Census Tract 4060, Alameda County, California!!Male!!Estimate","Census Tract 4060, Alameda County, California!!Female!!Estimate",Census Tract 4051; Alameda County; California!!Total!!Estimate,Census Tract 4051; Alameda County; California!!Male!!Estimate,Census Tract 4051; Alameda County; California!!Female!!Estimate,Census Tract 4053.01; Alameda County; California!!Total!!Estimate,Census Tract 4053.01; Alameda County; California!!Male!!Estimate,Census Tract 4053.01; Alameda County; California!!Female!!Estimate,Census Tract 4053.02; Alameda County; California!!Total!!Estimate,Census Tract 4053.02; Alameda County; California!!Male!!Estimate,Census Tract 4053.02; Alameda County; California!!Female!!Estimate,Census Tract 4054.01; Alameda County; California!!Total!!Estimate,Census Tract 4054.01; Alameda County; California!!Male!!Estimate,Census Tract 4054.01; Alameda County; California!!Female!!Estimate,Census Tract 4054.02; Alameda County; California!!Total!!Estimate,Census Tract 4054.02; Alameda County; California!!Male!!Estimate,Census Tract 4054.02; Alameda County; California!!Female!!Estimate,Census Tract 4055; Alameda County; California!!Total!!Estimate,Census Tract 4055; Alameda County; California!!Male!!Estimate,Census Tract 4055; Alameda County; California!!Female!!Estimate,Census Tract 4056; Alameda County; California!!Total!!Estimate,Census Tract 4056; Alameda County; California!!Male!!Estimate,Census Tract 4056; Alameda County; California!!Female!!Estimate,Census Tract 4057; Alameda County; California!!Total!!Estimate,Census Tract 4057; Alameda County; California!!Male!!Estimate,Census Tract 4057; Alameda County; California!!Female!!Estimate,Census Tract 4058; Alameda County; California!!Total!!Estimate,Census Tract 4058; Alameda County; California!!Male!!Estimate,Census Tract 4058; Alameda County; California!!Female!!Estimate,Census Tract 4059.01; Alameda County; California!!Total!!Estimate,Census Tract 4059.01; Alameda County; California!!Male!!Estimate,Census Tract 4059.01; Alameda County; California!!Female!!Estimate,Census Tract 4059.02; Alameda County; California!!Total!!Estimate,Census Tract 4059.02; Alameda County; California!!Male!!Estimate,Census Tract 4059.02; Alameda County; California!!Female!!Estimate,Census Tract 4060; Alameda County; California!!Total!!Estimate,Census Tract 4060; Alameda County; California!!Male!!Estimate,Census Tract 4060; Alameda County; California!!Female!!Estimate,Demographic Group,Population Estimate,Estimate Year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total:,"38,441",2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White alone,"10,577",2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American alone,"6,965",2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Indian and Alaska Native alone,625,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian alone,"14,232",2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian and Other Pacific Islander alone,347,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some other race alone,"3,693",2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two or more races:,"2,002",2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two races including Some other race,386,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Two races excluding Some other race, and three or more races","1,616",2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total:,"38,303",2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White alone,"10,904",2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black or African American alone,"7,051",2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Indian and Alaska Native alone,559,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian alone,"13,801",2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Native Hawaiian and Other Pacific Islander alone,245,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some other race alone,"3,915",2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two or more races:,"1,828",2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two races including Some other race,305,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Two races excluding Some other race, and three or more races","1,523",2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total:,"38,220",2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White alone,"11,131",2019
