"Label (Grouping)","ZCTA5 94606!!Occupied housing units!!Estimate","ZCTA5 94606!!Owner-occupied housing units!!Estimate","ZCTA5 94606!!Renter-occupied housing units!!Estimate"
"Occupied housing units","15,692","3,061","12,631"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"        One race --","","",""
"            White","4,613","856","3,757"
"            Black or African American","3,469","298","3,171"
"            American Indian and Alaska Native","148","19","129"
"            Asian","4,566","1,535","3,031"
"            Native Hawaiian and Other Pacific Islander","61","0","61"
"            Some other race","1,601","196","1,405"
"        Two or more races","1,234","157","1,077"
"        Hispanic or Latino origin","2,497","315","2,182"
"        White alone, not Hispanic or Latino","4,189","809","3,380"
"    AGE OF HOUSEHOLDER","","",""
"        Under 35 years","4,274","271","4,003"
"        35 to 44 years","3,350","560","2,790"
"        45 to 54 years","2,541","665","1,876"
"        55 to 64 years","2,434","534","1,900"
"        65 to 74 years","1,840","602","1,238"
"        75 to 84 years","881","230","651"
"        85 years and over","372","199","173"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","",""
"        Less than high school graduate","2,348","483","1,865"
"        High school graduate (includes equivalency)","2,438","435","2,003"
"        Some college or associate's degree","3,650","759","2,891"
"        Bachelor's degree or higher","7,256","1,384","5,872"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","",""
"        Moved in 2021 or later","1,078","73","1,005"
"        Moved in 2018 to 2020","2,757","256","2,501"
"        Moved in 2010 to 2017","6,689","866","5,823"
"        Moved in 2000 to 2009","2,822","639","2,183"
"        Moved in 1990 to 1999","1,098","468","630"
"        Moved in 1989 or earlier","1,248","759","489"
