"Label (Grouping)","ZCTA5 94606!!Households!!Estimate","ZCTA5 94606!!Families!!Estimate","ZCTA5 94606!!Married-couple families!!Estimate","ZCTA5 94606!!Nonfamily households!!Estimate"
"Total","14,955","7,813","5,179","7,142"
"    Less than $10,000","8.0%","6.1%","4.2%","11.0%"
"    $10,000 to $14,999","9.0%","6.9%","7.3%","12.0%"
"    $15,000 to $24,999","13.0%","15.2%","13.2%","11.3%"
"    $25,000 to $34,999","9.8%","10.4%","10.7%","9.5%"
"    $35,000 to $49,999","11.4%","10.8%","9.6%","11.1%"
"    $50,000 to $74,999","18.1%","18.3%","17.6%","19.6%"
"    $75,000 to $99,999","10.8%","9.9%","10.8%","11.2%"
"    $100,000 to $149,999","11.4%","12.0%","14.0%","9.1%"
"    $150,000 to $199,999","4.9%","5.8%","6.4%","3.2%"
"    $200,000 or more","3.5%","4.6%","6.1%","2.1%"
"Median income (dollars)","48,421","50,853","56,920","44,395"
"Mean income (dollars)","64,276","68,746","75,672","56,014"
"PERCENT ALLOCATED","","","",""
"    Household income in the past 12 months","33.3%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","36.7%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","27.2%"
