"Label (Grouping)","Census Tract 4052; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4052; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4053.01; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4053.02; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4054.01; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4054.02; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4055; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4056; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4057; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4058; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4059.01; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4059.02; Alameda County; California!!Percent renter-occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Percent occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Owner-occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Percent owner-occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Renter-occupied housing units!!Estimate","Census Tract 4060; Alameda County; California!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","2,292","2,292","587","587","1,705","1,705","1,479","1,479","147","147","1,332","1,332","1,539","1,539","126","126","1,413","1,413","1,584","1,584","156","156","1,428","1,428","1,232","1,232","125","125","1,107","1,107","1,610","1,610","405","405","1,205","1,205","1,447","1,447","378","378","1,069","1,069","1,505","1,505","463","463","1,042","1,042","1,342","1,342","479","479","863","863","1,089","1,089","276","276","813","813","923","923","360","360","563","563","1,816","1,816","336","336","1,480","1,480"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","1,089","47.5%","293","49.9%","796","46.7%","802","54.2%","73","49.7%","729","54.7%","543","35.3%","24","19.0%","519","36.7%","556","35.1%","18","11.5%","538","37.7%","246","20.0%","29","23.2%","217","19.6%","433","26.9%","137","33.8%","296","24.6%","649","44.9%","169","44.7%","480","44.9%","321","21.3%","181","39.1%","140","13.4%","238","17.7%","166","34.7%","72","8.3%","122","11.2%","59","21.4%","63","7.7%","143","15.5%","97","26.9%","46","8.2%","511","28.1%","61","18.2%","450","30.4%"
"            Black or African American","403","17.6%","20","3.4%","383","22.5%","233","15.8%","8","5.4%","225","16.9%","452","29.4%","0","0.0%","452","32.0%","267","16.9%","24","15.4%","243","17.0%","303","24.6%","0","0.0%","303","27.4%","365","22.7%","43","10.6%","322","26.7%","318","22.0%","8","2.1%","310","29.0%","556","36.9%","69","14.9%","487","46.7%","331","24.7%","88","18.4%","243","28.2%","214","19.7%","26","9.4%","188","23.1%","128","13.9%","22","6.1%","106","18.8%","345","19.0%","60","17.9%","285","19.3%"
"            American Indian and Alaska Native","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","13","0.8%","0","0.0%","13","0.9%","8","0.5%","0","0.0%","8","0.6%","6","0.5%","0","0.0%","6","0.5%","0","0.0%","0","0.0%","0","0.0%","32","2.2%","0","0.0%","32","3.0%","27","1.8%","13","2.8%","14","1.3%","11","0.8%","0","0.0%","11","1.3%","16","1.5%","16","5.8%","0","0.0%","20","2.2%","3","0.8%","17","3.0%","35","1.9%","0","0.0%","35","2.4%"
"            Asian","540","23.6%","220","37.5%","320","18.8%","215","14.5%","37","25.2%","178","13.4%","434","28.2%","102","81.0%","332","23.5%","443","28.0%","114","73.1%","329","23.0%","448","36.4%","85","68.0%","363","32.8%","478","29.7%","176","43.5%","302","25.1%","239","16.5%","164","43.4%","75","7.0%","315","20.9%","132","28.5%","183","17.6%","521","38.8%","144","30.1%","377","43.7%","382","35.1%","159","57.6%","223","27.4%","365","39.5%","172","47.8%","193","34.3%","655","36.1%","215","64.0%","440","29.7%"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","0","0.0%","0","0.0%","5","0.3%","0","0.0%","5","0.4%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","22","1.4%","0","0.0%","22","1.8%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","34","3.1%","0","0.0%","34","4.2%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%"
"            Some other race","52","2.3%","12","2.0%","40","2.3%","55","3.7%","0","0.0%","55","4.1%","29","1.9%","0","0.0%","29","2.1%","229","14.5%","0","0.0%","229","16.0%","203","16.5%","11","8.8%","192","17.3%","138","8.6%","38","9.4%","100","8.3%","57","3.9%","5","1.3%","52","4.9%","169","11.2%","39","8.4%","130","12.5%","159","11.8%","54","11.3%","105","12.2%","148","13.6%","11","4.0%","137","16.9%","199","21.6%","48","13.3%","151","26.8%","228","12.6%","0","0.0%","228","15.4%"
"        Two or more races","208","9.1%","42","7.2%","166","9.7%","169","11.4%","29","19.7%","140","10.5%","68","4.4%","0","0.0%","68","4.8%","81","5.1%","0","0.0%","81","5.7%","26","2.1%","0","0.0%","26","2.3%","174","10.8%","11","2.7%","163","13.5%","152","10.5%","32","8.5%","120","11.2%","117","7.8%","29","6.3%","88","8.4%","82","6.1%","27","5.6%","55","6.4%","173","15.9%","5","1.8%","168","20.7%","68","7.4%","18","5.0%","50","8.9%","42","2.3%","0","0.0%","42","2.8%"
"        Hispanic or Latino origin","203","8.9%","40","6.8%","163","9.6%","222","15.0%","0","0.0%","222","16.7%","61","4.0%","0","0.0%","61","4.3%","303","19.1%","0","0.0%","303","21.2%","209","17.0%","11","8.8%","198","17.9%","189","11.7%","49","12.1%","140","11.6%","237","16.4%","48","12.7%","189","17.7%","237","15.7%","86","18.6%","151","14.5%","203","15.1%","76","15.9%","127","14.7%","290","26.6%","24","8.7%","266","32.7%","259","28.1%","74","20.6%","185","32.9%","309","17.0%","0","0.0%","309","20.9%"
"        White alone, not Hispanic or Latino","1,007","43.9%","280","47.7%","727","42.6%","760","51.4%","73","49.7%","687","51.6%","535","34.8%","24","19.0%","511","36.2%","502","31.7%","18","11.5%","484","33.9%","217","17.6%","29","23.2%","188","17.0%","421","26.1%","137","33.8%","284","23.6%","541","37.4%","148","39.2%","393","36.8%","276","18.3%","147","31.7%","129","12.4%","216","16.1%","166","34.7%","50","5.8%","88","8.1%","51","18.5%","37","4.6%","125","13.5%","79","21.9%","46","8.2%","432","23.8%","61","18.2%","371","25.1%"
"    AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 35 years","594","25.9%","69","11.8%","525","30.8%","449","30.4%","8","5.4%","441","33.1%","611","39.7%","29","23.0%","582","41.2%","529","33.4%","8","5.1%","521","36.5%","389","31.6%","28","22.4%","361","32.6%","422","26.2%","31","7.7%","391","32.4%","272","18.8%","16","4.2%","256","23.9%","412","27.4%","100","21.6%","312","29.9%","306","22.8%","41","8.6%","265","30.7%","307","28.2%","28","10.1%","279","34.3%","285","30.9%","58","16.1%","227","40.3%","318","17.5%","0","0.0%","318","21.5%"
"        35 to 44 years","463","20.2%","20","3.4%","443","26.0%","484","32.7%","29","19.7%","455","34.2%","234","15.2%","0","0.0%","234","16.6%","391","24.7%","9","5.8%","382","26.8%","260","21.1%","40","32.0%","220","19.9%","297","18.4%","53","13.1%","244","20.2%","432","29.9%","77","20.4%","355","33.2%","233","15.5%","77","16.6%","156","15.0%","439","32.7%","212","44.3%","227","26.3%","234","21.5%","46","16.7%","188","23.1%","195","21.1%","85","23.6%","110","19.5%","230","12.7%","27","8.0%","203","13.7%"
"        45 to 54 years","376","16.4%","173","29.5%","203","11.9%","199","13.5%","0","0.0%","199","14.9%","124","8.1%","37","29.4%","87","6.2%","227","14.3%","45","28.8%","182","12.7%","141","11.4%","6","4.8%","135","12.2%","283","17.6%","92","22.7%","191","15.9%","272","18.8%","100","26.5%","172","16.1%","184","12.2%","60","13.0%","124","11.9%","197","14.7%","52","10.9%","145","16.8%","230","21.1%","83","30.1%","147","18.1%","96","10.4%","48","13.3%","48","8.5%","523","28.8%","109","32.4%","414","28.0%"
"        55 to 64 years","295","12.9%","82","14.0%","213","12.5%","147","9.9%","19","12.9%","128","9.6%","202","13.1%","34","27.0%","168","11.9%","160","10.1%","37","23.7%","123","8.6%","196","15.9%","28","22.4%","168","15.2%","280","17.4%","80","19.8%","200","16.6%","274","18.9%","113","29.9%","161","15.1%","559","37.1%","133","28.7%","426","40.9%","180","13.4%","85","17.7%","95","11.0%","142","13.0%","29","10.5%","113","13.9%","171","18.5%","75","20.8%","96","17.1%","269","14.8%","33","9.8%","236","15.9%"
