Tract ID,Estimate Year,Total:,White alone,Black or African American alone,Asian alone,Total population,Under 18 years,Median age (years),18 years and over,Sex
4052,2017,"5,125","1,930",711,"1,519","5,125",606,35.8,"4,519",2
4052,2017,"5,125","1,930",711,"1,519","2,617",324,33.5,"2,293",1
4052,2017,"5,125","1,930",711,"1,519","2,508",282,37.8,"2,226",0
4053.01,2017,"3,019","1,552",757,275,"3,019",326,36.2,"2,693",2
4053.01,2017,"3,019","1,552",757,275,"1,336",152,36.9,"1,184",1
4053.01,2017,"3,019","1,552",757,275,"1,683",174,35.8,"1,509",0
4053.02,2017,"2,446",885,367,848,"2,446",252,40.0,"2,194",2
4053.02,2017,"2,446",885,367,848,"1,317",145,38.5,"1,172",1
4053.02,2017,"2,446",885,367,848,"1,129",107,40.8,"1,022",0
4054.01,2017,"4,014","1,061",806,"1,362","4,014",567,34.9,"3,447",2
4054.01,2017,"4,014","1,061",806,"1,362","1,948",222,34.6,"1,726",1
4054.01,2017,"4,014","1,061",806,"1,362","2,066",345,35.8,"1,721",0
4054.02,2017,"3,250",404,841,"1,117","3,250",713,34.9,"2,537",2
4054.02,2017,"3,250",404,841,"1,117","1,624",452,30.2,"1,172",1
4054.02,2017,"3,250",404,841,"1,117","1,626",261,38.1,"1,365",0
4055,2017,"4,124","1,152",585,"2,051","4,124",626,34.7,"3,498",2
4055,2017,"4,124","1,152",585,"2,051","1,971",266,34.8,"1,705",1
4055,2017,"4,124","1,152",585,"2,051","2,153",360,34.4,"1,793",0
4056,2017,"3,171","1,221",482,875,"3,171",576,36.5,"2,595",2
4056,2017,"3,171","1,221",482,875,"1,797",413,35.4,"1,384",1
4056,2017,"3,171","1,221",482,875,"1,374",163,38.9,"1,211",0
4057,2017,"3,760",814,"1,229","1,179","3,760",602,35.4,"3,158",2
4057,2017,"3,760",814,"1,229","1,179","1,927",281,36.7,"1,646",1
4057,2017,"3,760",814,"1,229","1,179","1,833",321,34.5,"1,512",0
4058,2017,"4,472","1,008","1,053","1,918","4,472",901,34.4,"3,571",2
